school_name,subject_desc
ANDERSON SERANGOON JUNIOR COLLEGE,H1 PHYSICS
ANDERSON SERANGOON JUNIOR COLLEGE,H1 PROJECT WORK
ANDERSON SERANGOON JUNIOR COLLEGE,H1 TAMIL LANGUAGE
ANDERSON SERANGOON JUNIOR COLLEGE,H2 ART
ANDERSON SERANGOON JUNIOR COLLEGE,H2 BIOLOGY
ANDERSON SERANGOON JUNIOR COLLEGE,H2 CHEMISTRY
ANDERSON SERANGOON JUNIOR COLLEGE,H2 ECONOMICS
ANDERSON SERANGOON JUNIOR COLLEGE,H2 HISTORY
ANDERSON SERANGOON JUNIOR COLLEGE,H2 PHYSICS
ANDERSON SERANGOON JUNIOR COLLEGE,H3 BIOLOGY
ANDERSON SERANGOON JUNIOR COLLEGE,H3 CHEMISTRY
ANDERSON SERANGOON JUNIOR COLLEGE,H3 PHYSICS
ANDERSON SERANGOON JUNIOR COLLEGE,NTU MOLECULAR BIOLOGY
ANDERSON SERANGOON JUNIOR COLLEGE,NTU SEMICONDUCTOR PHYSICS & DEVICES
ANG MO KIO PRIMARY SCHOOL,ART
ANG MO KIO PRIMARY SCHOOL,CHINESE
ANG MO KIO PRIMARY SCHOOL,ENGLISH LANGUAGE
ANG MO KIO PRIMARY SCHOOL,FOUNDATION CHINESE
ANG MO KIO PRIMARY SCHOOL,FOUNDATION ENGLISH LANGUAGE
ANG MO KIO PRIMARY SCHOOL,FOUNDATION MALAY
ANG MO KIO PRIMARY SCHOOL,FOUNDATION TAMIL
ANG MO KIO PRIMARY SCHOOL,HIGHER CHINESE
ANG MO KIO PRIMARY SCHOOL,HIGHER MALAY
ANG MO KIO PRIMARY SCHOOL,HIGHER TAMIL
ANG MO KIO PRIMARY SCHOOL,MALAY
ANG MO KIO PRIMARY SCHOOL,MATHEMATICS
ANG MO KIO PRIMARY SCHOOL,MUSIC
ANG MO KIO PRIMARY SCHOOL,PHYSICAL EDUCATION
ANG MO KIO PRIMARY SCHOOL,SCIENCE
ANG MO KIO PRIMARY SCHOOL,SOCIAL STUDIES
ANG MO KIO PRIMARY SCHOOL,TAMIL
ANG MO KIO SECONDARY SCHOOL,ART
ANG MO KIO SECONDARY SCHOOL,DESIGN & TECHNOLOGY
ANG MO KIO SECONDARY SCHOOL,FOOD AND CONSUMER EDUCATION
ANG MO KIO SECONDARY SCHOOL,PHYSICAL EDUCATION
ANGLICAN HIGH SCHOOL,PHYSICAL EDUCATION
ANGLO-CHINESE JUNIOR COLLEGE,H1 ART
ANGLO-CHINESE JUNIOR COLLEGE,H1 BIOLOGY
ANGLO-CHINESE JUNIOR COLLEGE,H1 CHEMISTRY
ANGLO-CHINESE JUNIOR COLLEGE,H1 CHINESE LANGUAGE
ANGLO-CHINESE JUNIOR COLLEGE,H1 ECONOMICS
ANGLO-CHINESE JUNIOR COLLEGE,H1 FRENCH LANGUAGE
ANGLO-CHINESE JUNIOR COLLEGE,H1 GENERAL PAPER
ANGLO-CHINESE JUNIOR COLLEGE,H1 GERMAN LANGUAGE
ANGLO-CHINESE JUNIOR COLLEGE,H1 HISTORY
ANGLO-CHINESE JUNIOR COLLEGE,H1 JAPANESE LANGUAGE
ANGLO-CHINESE JUNIOR COLLEGE,H1 MALAY LANGUAGE
ANGLO-CHINESE JUNIOR COLLEGE,H1 PHYSICS
ANGLO-CHINESE JUNIOR COLLEGE,H1 PROJECT WORK
ANGLO-CHINESE JUNIOR COLLEGE,H1 TAMIL LANGUAGE
ANGLO-CHINESE JUNIOR COLLEGE,H2 ART
ANGLO-CHINESE JUNIOR COLLEGE,H2 BIOLOGY
ANGLO-CHINESE JUNIOR COLLEGE,H2 CHEMISTRY
ANGLO-CHINESE JUNIOR COLLEGE,H2 COMPUTING
ANGLO-CHINESE JUNIOR COLLEGE,H2 ECONOMICS
ANGLO-CHINESE JUNIOR COLLEGE,H2 FRENCH LANGUAGE
ANGLO-CHINESE JUNIOR COLLEGE,H2 GERMAN LANGUAGE
ANGLO-CHINESE JUNIOR COLLEGE,H2 HISTORY
ANGLO-CHINESE JUNIOR COLLEGE,H2 JAPANESE LANGUAGE
ANGLO-CHINESE JUNIOR COLLEGE,H2 KNOWLEDGE & INQUIRY
ANGLO-CHINESE JUNIOR COLLEGE,H2 MUSIC
ANGLO-CHINESE JUNIOR COLLEGE,H2 PHYSICS
ANGLO-CHINESE SCHOOL (BARKER ROAD),ART
ANGLO-CHINESE SCHOOL (BARKER ROAD),CHINESE B
ANGLO-CHINESE SCHOOL (BARKER ROAD),DESIGN & TECHNOLOGY
ANGLO-CHINESE SCHOOL (BARKER ROAD),FOOD AND CONSUMER EDUCATION
ANGLO-CHINESE SCHOOL (BARKER ROAD),MALAY B
ANGLO-CHINESE SCHOOL (BARKER ROAD),MUSIC
ANGLO-CHINESE SCHOOL (BARKER ROAD),PHYSICAL EDUCATION
ANGLO-CHINESE SCHOOL (BARKER ROAD),TAMIL B
ANGLO-CHINESE SCHOOL (JUNIOR),ART
ANGLO-CHINESE SCHOOL (JUNIOR),CHINESE
ANGLO-CHINESE SCHOOL (JUNIOR),ENGLISH LANGUAGE
ANGLO-CHINESE SCHOOL (JUNIOR),HIGHER CHINESE
ANGLO-CHINESE SCHOOL (JUNIOR),MALAY
ANGLO-CHINESE SCHOOL (JUNIOR),MATHEMATICS
ANGLO-CHINESE SCHOOL (JUNIOR),MUSIC
ANGLO-CHINESE SCHOOL (JUNIOR),PHYSICAL EDUCATION
ANGLO-CHINESE SCHOOL (JUNIOR),SCIENCE
ANGLO-CHINESE SCHOOL (JUNIOR),SOCIAL STUDIES
ANGLO-CHINESE SCHOOL (JUNIOR),TAMIL
ANGLO-CHINESE SCHOOL (PRIMARY),ART
ANGLO-CHINESE SCHOOL (PRIMARY),CHINESE
ANGLO-CHINESE SCHOOL (PRIMARY),ENGLISH LANGUAGE
ANGLO-CHINESE SCHOOL (PRIMARY),FOUNDATION CHINESE
ANGLO-CHINESE SCHOOL (PRIMARY),FOUNDATION ENGLISH LANGUAGE
ANGLO-CHINESE SCHOOL (PRIMARY),FOUNDATION TAMIL
