school_name,year,total_vac,p1_vac,p1_appl,p1_taken,p2a_vac,p2a_appl,p2a_taken,p2b_vac,p2b_appl,p2b_taken,p2c_vac,p2c_appl,p2c_taken,p2cs_vac,p2cs_appl,p2cs_taken,p3_vac,p3_appl,p3_taken
Gan Eng Seng Primary School,2020-01-01,210,170,58,58,112,2,0,75,0,0,152,45,45,107,51,51,56,0,0
Geylang Methodist School (Primary),2020-01-01,270,230,84,84,146,37,20,75,10,10,141,123,123,18,36,18,0,0,0
Gongshang Primary School,2020-01-01,210,170,107,107,63,71,76,21,21,21,21,91,21,0,0,0,0,0,0
Greendale Primary School,2020-01-01,280,240,56,56,185,6,0,110,0,0,219,52,52,170,89,89,81,0,0
Greenridge Primary School,2020-01-01,270,230,96,96,134,18,0,78,0,0,156,61,61,95,43,43,52,0,0
Greenwood Primary School,2020-01-01,240,200,93,93,107,9,0,70,0,0,139,114,114,26,29,26,0,0,0
Guangyang Primary School,2020-01-01,150,110,19,19,91,4,2,64,0,0,127,15,15,112,35,35,77,0,0
Haig Girls' School,2020-01-01,180,140,40,40,100,25,20,58,15,15,102,117,102,0,0,0,0,0,0
Henry Park Primary School,2020-01-01,300,260,155,155,105,118,162,20,23,20,20,56,20,0,0,0,0,0,0
Holy Innocents' Primary School,2020-01-01,270,230,95,95,135,93,72,41,58,41,43,81,43,0,0,0,0,0,0
Hong Wen School,2020-01-01,210,170,75,75,95,35,22,50,27,27,73,138,73,0,0,0,0,0,0
Horizon Primary School,2020-01-01,240,200,134,134,66,16,0,46,24,24,68,140,68,0,0,0,0,0,0
Hougang Primary School,2020-01-01,210,170,90,90,80,17,0,52,19,19,84,139,84,0,0,0,0,0,0
Huamin Primary School,2020-01-01,280,240,97,97,143,63,0,60,0,0,123,141,123,0,0,0,0,0,0
Innova Primary School,2020-01-01,180,140,83,83,57,11,0,43,21,21,65,87,65,0,0,0,0,0,0
Jiemin Primary School,2020-01-01,220,180,79,79,101,39,0,51,1,1,101,74,74,27,14,14,13,0,0
Jing Shan Primary School,2020-01-01,160,120,62,62,58,19,0,40,2,2,79,60,60,19,26,19,0,0,0
Junyuan Primary School,2020-01-01,210,170,86,86,84,42,0,42,1,1,82,87,82,0,0,0,0,0,0
Jurong Primary School,2020-01-01,180,140,92,92,48,39,0,25,0,0,49,60,49,0,0,0,0,0,0
Jurong West Primary School,2020-01-01,180,140,83,83,57,17,4,41,11,11,70,74,70,0,0,0,0,0,0
Juying Primary School,2020-01-01,120,80,22,22,58,2,0,48,0,0,96,10,10,86,30,30,56,0,0
Keming Primary School,2020-01-01,210,170,82,82,88,41,6,44,21,21,67,144,67,0,0,0,0,0,0
Kheng Cheng School,2020-01-01,240,200,85,85,115,21,6,67,3,3,132,140,132,0,0,0,0,0,0
Kong Hwa School,2020-01-01,270,230,115,115,116,74,86,42,41,41,44,91,44,0,0,0,0,0,0
Kranji Primary School,2020-01-01,210,170,31,31,139,13,0,84,0,0,168,12,12,157,22,22,135,0,0
Kuo Chuan Presbyterian Primary School,2020-01-01,240,200,120,120,80,47,18,37,55,37,37,50,37,0,0,0,0,0,0
Lakeside Primary School,2020-01-01,240,200,94,94,106,20,0,63,0,0,126,138,126,0,0,0,0,0,0
Lianhua Primary School,2020-01-01,240,200,60,60,140,4,0,88,0,0,176,22,22,154,71,71,83,0,0
Maha Bodhi School,2020-01-01,330,290,131,131,159,89,98,55,53,53,60,105,60,0,0,0,0,0,0
Maris Stella High School,2020-01-01,270,230,80,80,150,92,118,50,67,50,51,64,51,0,0,0,0,0,0
Marsiling Primary School,2020-01-01,210,170,55,55,115,8,0,74,0,0,147,77,77,72,3,3,69,0,0
Marymount Convent School,2020-01-01,240,200,41,41,159,8,4,96,9,9,183,72,72,111,155,111,0,0,0
Mayflower Primary School,2020-01-01,180,140,39,39,101,10,2,66,0,0,132,30,30,102,41,41,61,0,0
Mee Toh School,2020-01-01,320,280,151,151,129,29,14,70,50,50,90,160,90,0,0,0,0,0,0
Meridian Primary School,2020-01-01,210,170,27,27,143,5,0,89,0,0,178,31,31,148,12,12,136,0,0
Methodist Girls' School (Primary),2020-01-01,210,170,64,64,106,93,158,27,39,27,26,39,26,0,0,0,0,0,0
Montfort Junior School,2020-01-01,120,80,18,18,62,11,2,46,5,5,86,63,63,23,37,23,0,0,0
Nan Chiau Primary School,2020-01-01,300,260,118,118,142,38,28,72,81,72,72,225,72,0,0,0,0,0,0
Nan Hua Primary School,2020-01-01,240,200,123,123,77,84,154,20,19,19,22,115,22,0,0,0,0,0,0
Nanyang Primary School,2020-01-01,390,350,182,182,168,184,280,21,48,21,20,78,20,0,0,0,0,0,0
Naval Base Primary School,2020-01-01,280,240,95,95,145,23,0,81,2,2,160,116,116,45,73,45,0,0,0
New Town Primary School,2020-01-01,270,230,45,45,185,6,0,110,0,0,220,27,27,194,62,62,132,0,0
Ngee Ann Primary School,2020-01-01,240,200,85,85,115,26,0,65,24,24,107,116,107,0,0,0,0,0,0
North Spring Primary School,2020-01-01,240,200,62,62,138,5,0,87,0,0,174,84,84,90,41,41,49,0,0
North View Primary School,2020-01-01,220,180,87,87,93,15,0,59,1,1,117,102,102,15,34,15,0,0,0
North Vista Primary School,2020-01-01,240,200,98,98,102,7,0,68,1,1,134,79,79,55,46,46,9,0,0
Northland Primary School,2020-01-01,240,200,98,98,102,67,42,38,28,28,49,215,49,0,0,0,0,0,0
Northoaks Primary School,2020-01-01,240,200,50,50,150,13,0,89,0,0,179,7,7,173,22,22,151,0,0
Northshore Primary School,2020-01-01,210,170,0,0,170,0,0,105,0,0,210,47,47,164,36,36,128,0,0
Oasis Primary School,2020-01-01,280,240,124,124,116,76,0,40,2,2,81,108,81,0,0,0,0,0,0
Opera Estate Primary School,2020-01-01,150,110,56,56,54,17,6,39,1,1,76,83,76,9,11,9,0,0,0
Palm View Primary School,2020-01-01,280,240,105,105,135,3,0,86,10,10,162,100,100,62,79,62,0,0,0
Park View Primary School,2020-01-01,180,140,48,48,92,7,0,63,0,0,125,95,95,32,35,32,0,0,0
Pasir Ris Primary School,2020-01-01,180,140,93,93,47,31,0,29,24,24,33,81,33,0,0,0,0,0,0
Paya Lebar Methodist Girls' School (Primary),2020-01-01,270,230,63,63,167,72,98,68,56,56,81,109,81,0,0,0,0,0,0
Pei Chun Public School,2020-01-01,300,260,149,149,111,116,156,22,30,22,21,68,21,0,0,0,0,0,0
Pei Hwa Presbyterian Primary School,2020-01-01,224,184,118,118,67,69,134,20,29,20,21,63,21,0,0,0,0,0,0
Pei Tong Primary School,2020-01-01,240,200,66,66,134,28,0,73,0,0,147,29,29,118,78,78,40,0,0
Peiying Primary School,2020-01-01,190,150,81,81,69,16,0,47,0,0,93,44,44,49,45,45,4,0,0
Pioneer Primary School,2020-01-01,150,110,53,53,57,6,0,46,0,0,93,20,20,74,35,35,39,0,0
Poi Ching School,2020-01-01,240,200,116,116,84,19,12,53,36,36,70,172,70,0,0,0,0,0,0
Princess Elizabeth Primary School,2020-01-01,200,160,120,120,40,50,0,20,2,2,38,226,38,0,0,0,0,0,0
Punggol Primary School,2020-01-01,200,160,68,68,92,15,0,59,12,12,106,124,106,0,0,0,0,0,0
Punggol Cove Primary School,2020-01-01,280,240,122,122,118,44,2,57,1,1,113,103,103,10,22,10,0,0,0
Punggol Green Primary School,2020-01-01,280,240,142,142,98,78,0,30,3,3,59,138,59,0,0,0,0,0,0
Punggol View Primary School,2020-01-01,240,200,124,124,76,73,0,22,0,0,44,58,44,0,0,0,0,0,0
Qifa Primary School,2020-01-01,240,200,106,106,94,42,0,46,22,22,70,97,70,0,0,0,0,0,0
Qihua Primary School,2020-01-01,210,170,57,57,113,16,2,69,4,4,133,69,69,65,25,25,40,0,0
Queenstown Primary School,2020-01-01,240,200,77,77,123,14,0,75,2,2,148,154,148,0,0,0,0,0,0
Radin Mas Primary School,2020-01-01,200,160,115,115,45,59,56,21,21,21,23,75,23,0,0,0,0,0,0
Raffles Girls' Primary School,2020-01-01,270,230,89,89,141,77,96,52,28,28,77,176,77,0,0,0,0,0,0
Red Swastika School,2020-01-01,240,200,108,108,92,98,146,21,11,11,30,65,30,0,0,0,0,0,0
River Valley Primary School,2020-01-01,210,170,111,111,60,40,2,31,27,27,35,62,35,0,0,0,0,0,0
Riverside Primary School,2020-01-01,210,170,104,104,66,53,0,27,1,1,52,89,52,0,0,0,0,0,0
Rivervale Primary School,2020-01-01,240,200,87,87,114,9,0,73,21,21,125,143,125,0,0,0,0,0,0
Rosyth School,2020-01-01,270,230,144,144,87,89,174,21,33,21,20,94,20,0,0,0,0,0,0
Rulang Primary School,2020-01-01,270,230,148,148,82,122,120,20,30,20,20,74,20,0,0,0,0,0,0
Sembawang Primary School,2020-01-01,190,150,76,76,74,9,0,53,0,0,105,109,105,0,0,0,0,0,0
Seng Kang Primary School,2020-01-01,240,200,82,82,118,8,0,75,0,0,152,40,40,114,56,56,58,0,0
Sengkang Green Primary School,2020-01-01,280,240,117,117,123,111,0,26,17,17,36,115,36,0,0,0,0,0,0
Shuqun Primary School,2020-01-01,200,160,108,108,52,48,12,22,13,13,31,86,31,0,0,0,0,0,0
Si Ling Primary School,2020-01-01,180,140,34,34,108,12,2,68,0,0,136,16,16,120,13,13,107,0,0
Singapore Chinese Girls’ School (Primary),2020-01-01,192,152,63,63,89,82,140,24,31,24,23,56,23,0,0,0,0,0,0
South View Primary School,2020-01-01,270,230,130,130,100,90,76,25,24,24,26,139,26,0,0,0,0,0,0
Springdale Primary School,2020-01-01,280,240,110,110,130,64,2,53,2,2,106,136,106,0,0,0,0,0,0
St. Andrew's Junior School,2020-01-01,240,200,48,48,152,61,84,66,44,44,89,122,89,0,0,0,0,0,0
St. Anthony's Primary School,2020-01-01,210,170,106,106,65,32,18,37,33,33,40,96,40,0,0,0,0,0,0
St. Anthony's Canossian Primary School,2020-01-01,240,200,51,51,149,12,6,89,12,12,167,38,38,129,51,51,78,0,0
St. Gabriel's Primary School,2020-01-01,150,110,22,22,88,18,12,55,32,32,78,80,78,0,0,0,0,0,0
St. Hilda's Primary School,2020-01-01,270,230,141,141,89,106,140,20,37,20,22,79,22,0,0,0,0,0,0
St. Joseph's Institution Junior,2020-01-01,240,200,60,60,140,65,94,58,82,58,57,75,57,0,0,0,0,0,0
St. Margaret's Primary School,2020-01-01,192,152,44,44,108,24,14,63,28,28,97,98,97,0,0,0,0,0,0
St. Stephen's School,2020-01-01,240,200,42,42,158,30,2,85,18,18,154,74,74,81,90,81,0,0,0
Stamford Primary School,2020-01-01,150,110,29,29,81,6,0,58,0,0,115,24,24,92,9,9,83,0,0
Tampines Primary School,2020-01-01,210,170,95,95,75,33,0,41,1,1,83,98,83,0,0,0,0,0,0
Tampines North Primary School,2020-01-01,240,200,78,78,122,15,2,74,0,0,147,82,82,66,95,66,0,0,0
Tanjong Katong Primary School,2020-01-01,200,160,80,80,80,30,2,46,3,3,89,114,89,0,0,0,0,0,0
Tao Nan School,2020-01-01,360,320,171,171,150,150,218,20,53,20,21,75,21,0,0,0,0,0,0
Teck Ghee Primary School,2020-01-01,210,170,74,74,96,26,0,55,14,14,96,119,96,0,0,0,0,0,0
Teck Whye Primary School,2020-01-01,240,200,47,47,152,10,0,91,0,0,183,23,23,161,73,73,88,0,0
Telok Kurau Primary School,2020-01-01,240,200,63,63,137,7,0,85,1,1,170,50,50,121,39,39,82,0,0
Temasek Primary School,2020-01-01,200,160,107,107,53,85,80,20,12,12,28,106,28,0,0,0,0,0,0
Townsville Primary School,2020-01-01,210,170,33,33,137,9,0,85,0,0,170,38,38,133,52,52,81,0,0
Unity Primary School,2020-01-01,240,200,74,74,126,9,0,79,0,0,158,83,83,76,19,19,57,0,0
Valour Primary School,2020-01-01,280,240,17,17,223,0,0,132,0,0,263,207,207,60,98,60,0,0,0
Waterway Primary School,2020-01-01,280,240,125,125,115,63,2,46,0,0,92,128,92,0,0,0,0,0,0
Wellington Primary School,2020-01-01,240,200,94,94,106,54,0,47,0,0,94,116,94,0,0,0,0,0,0
West Grove Primary School,2020-01-01,210,170,93,93,77,11,0,53,7,7,99,119,99,0,0,0,0,0,0
West Spring Primary School,2020-01-01,240,200,115,115,85,62,0,32,19,19,45,126,45,0,0,0,0,0,0
West View Primary School,2020-01-01,180,140,36,36,104,6,0,69,1,1,137,38,38,99,28,28,71,0,0
Westwood Primary School,2020-01-01,210,170,98,98,72,78,2,20,10,10,31,87,31,0,0,0,0,0,0
White Sands Primary School,2020-01-01,180,140,87,87,53,16,0,39,22,22,55,69,55,0,0,0,0,0,0
Woodgrove Primary School,2020-01-01,180,140,62,62,78,15,0,52,16,16,87,96,87,0,0,0,0,0,0
Woodlands Primary School,2020-01-01,210,170,97,97,73,27,0,43,3,3,84,95,84,0,0,0,0,0,0
Woodlands Ring Primary School,2020-01-01,210,170,89,89,81,9,0,57,0,0,116,67,67,50,41,41,9,0,0
Xinghua Primary School,2020-01-01,270,230,37,37,193,11,2,111,0,0,222,48,48,174,31,31,143,0,0
Xingnan Primary School,2020-01-01,210,170,70,70,100,27,6,57,6,6,110,63,63,47,50,47,0,0,0
Xinmin Primary School,2020-01-01,210,170,90,90,80,44,0,38,15,15,61,91,61,0,0,0,0,0,0
Xishan Primary School,2020-01-01,200,160,91,91,69,12,0,49,0,0,98,48,48,50,64,50,0,0,0
Yangzheng Primary School,2020-01-01,180,140,65,65,75,26,16,45,15,15,74,102,74,0,0,0,0,0,0
Yew Tee Primary School,2020-01-01,240,200,75,75,125,11,2,77,7,7,148,53,53,95,45,45,50,0,0
Yio Chu Kang Primary School,2020-01-01,240,200,46,46,154,2,0,96,0,0,192,50,50,144,84,84,60,0,0
Yishun Primary School,2020-01-01,200,160,80,80,80,25,0,48,0,0,97,43,43,54,43,43,11,0,0
Yu Neng Primary School,2020-01-01,180,140,89,89,51,55,34,21,14,14,28,48,28,0,0,0,0,0,0
Yuhua Primary School,2020-01-01,240,200,52,52,148,14,0,87,0,0,175,44,44,131,62,62,69,0,0
Yumin Primary School,2020-01-01,180,140,66,66,74,15,0,50,1,1,100,48,48,54,64,54,0,0,0
Zhangde Primary School,2020-01-01,210,170,70,70,100,15,0,63,0,0,125,128,125,0,0,0,0,0,0
Zhenghua Primary School,2020-01-01,220,180,79,79,101,30,2,56,1,1,111,92,92,21,23,21,0,0,0
Zhonghua Primary School,2020-01-01,180,140,25,25,115,8,0,74,0,0,147,14,14,133,38,38,95,0,0
Admiralty Primary School,2019-01-01,210,170,83,83,87,22,0,53,44,44,61,86,61,0,0,0,0,0,0
Ahmad Ibrahim Primary School,2019-01-01,240,200,49,49,151,8,2,92,0,0,183,32,32,151,9,9,142,0,0
Ai Tong School,2019-01-01,300,260,121,121,139,120,168,31,32,31,30,55,30,0,0,0,0,0,0
Alexandra Primary School,2019-01-01,210,170,99,99,71,4,2,54,6,6,103,127,103,0,0,0,0,0,0
Anchor Green Primary School,2019-01-01,240,200,84,84,116,6,0,75,1,1,151,66,66,85,97,85,0,0,0
Anderson Primary School,2019-01-01,210,170,86,86,84,31,0,47,26,26,69,88,69,0,0,0,0,0,0
Ang Mo Kio Primary School,2019-01-01,150,110,46,46,64,15,0,45,0,0,89,45,45,44,30,30,14,0,0
Anglo-Chinese School (Junior),2019-01-01,270,230,75,75,155,103,176,46,65,46,46,60,46,0,0,0,0,0,0
Anglo-Chinese School (Primary),2019-01-01,240,200,57,57,143,128,212,28,37,28,27,42,27,0,0,0,0,0,0
Angsana Primary School,2019-01-01,120,80,24,24,56,11,0,43,0,0,85,9,9,77,3,3,74,0,0
Beacon Primary School,2019-01-01,210,170,63,63,107,4,0,72,0,0,143,58,58,86,19,19,67,0,0
Bedok Green Primary School,2019-01-01,210,170,52,52,118,11,0,74,0,0,149,52,52,98,55,55,43,0,0
Bendemeer Primary School,2019-01-01,180,140,51,51,89,17,0,56,0,0,113,63,63,50,49,49,1,0,0
Blangah Rise Primary School,2019-01-01,90,50,15,15,35,4,0,36,0,0,71,19,19,52,8,8,44,0,0
Boon Lay Garden Primary School,2019-01-01,240,200,51,51,149,10,0,90,0,0,181,33,33,148,33,33,115,0,0
Bukit Panjang Primary School,2019-01-01,240,200,98,98,102,54,24,44,20,20,70,87,70,0,0,0,0,0,0
Bukit Timah Primary School,2019-01-01,180,140,45,45,95,5,0,66,0,0,132,85,85,47,62,47,0,0,0
Bukit View Primary School,2019-01-01,180,140,51,51,89,7,0,61,0,0,122,24,24,99,65,65,34,0,0
CHIJ (Katong) Primary,2019-01-01,200,160,40,40,120,26,24,67,25,25,112,40,40,72,21,21,51,0,0
CHIJ (Kellock),2019-01-01,200,160,46,46,114,15,0,70,35,35,104,103,103,1,3,1,0,0,0
CHIJ Primary (Toa Payoh),2019-01-01,210,170,54,54,116,73,98,42,68,42,43,63,43,0,0,0,0,0,0
CHIJ Our Lady Queen Of Peace,2019-01-01,180,140,36,36,104,12,0,66,19,19,113,76,76,37,42,37,0,0,0
CHIJ Our Lady Of Good Counsel,2019-01-01,150,110,37,37,73,13,0,50,17,17,83,76,76,7,13,7,0,0,0
CHIJ Our Lady Of The Nativity,2019-01-01,240,200,66,66,135,24,0,76,40,40,114,119,114,0,0,0,0,0,0
CHIJ St. Nicholas Girls' School,2019-01-01,210,170,64,64,106,106,172,20,40,20,22,44,22,0,0,0,0,0,0
Canberra Primary School,2019-01-01,210,170,91,91,79,16,0,52,62,52,54,89,54,0,0,0,0,0,0
Canossa Catholic Primary School,2019-01-01,120,80,19,19,61,8,2,47,15,15,79,39,39,40,9,9,31,0,0
Cantonment Primary School,2019-01-01,180,140,61,61,79,3,0,58,1,1,115,80,80,35,35,35,0,0,0
Casuarina Primary School,2019-01-01,180,140,77,77,63,7,2,49,1,1,96,51,51,46,31,31,15,0,0
Catholic High School (Primary),2019-01-01,240,200,89,89,111,118,208,20,37,20,21,46,21,0,0,0,0,0,0
Cedar Primary School,2019-01-01,210,170,36,36,134,9,0,83,0,0,166,31,31,135,7,7,128,0,0
Changkat Primary School,2019-01-01,150,110,49,49,61,14,0,44,0,0,91,50,50,41,13,13,28,0,0
Chongfu School,2019-01-01,300,260,119,119,141,90,66,47,55,47,51,144,51,0,0,0,0,0,0
Chongzheng Primary School,2019-01-01,180,140,69,69,71,27,0,42,18,18,69,79,69,0,0,0,0,0,0
Chua Chu Kang Primary School,2019-01-01,240,200,90,90,110,14,0,68,14,14,124,131,124,0,0,0,0,0,0
Clementi Primary School,2019-01-01,240,200,76,76,124,14,0,75,2,2,151,104,104,47,57,47,0,0,0
Compassvale Primary School,2019-01-01,240,200,79,79,121,18,0,72,15,15,130,153,130,0,0,0,0,0,0
Concord Primary School,2019-01-01,240,200,79,79,121,15,0,73,8,8,138,129,129,9,22,9,0,0,0
Corporation Primary School,2019-01-01,210,170,75,75,95,8,0,64,0,0,127,58,58,69,61,61,8,0,0
Damai Primary School,2019-01-01,150,110,25,25,85,13,0,56,0,0,112,37,37,75,15,15,60,0,0
Dazhong Primary School,2019-01-01,180,140,55,55,85,25,4,50,0,0,101,36,36,66,67,66,0,0,0
De La Salle School,2019-01-01,240,200,90,90,110,19,12,66,23,23,109,118,109,0,0,0,0,0,0
East Spring Primary School,2019-01-01,150,110,53,53,58,11,0,44,2,2,85,53,53,32,11,11,21,0,0
Edgefield Primary School,2019-01-01,240,200,95,95,105,9,0,68,0,0,136,69,69,67,31,31,36,0,0
Elias Park Primary School,2019-01-01,180,140,63,63,77,13,0,53,1,1,105,116,105,0,0,0,0,0,0
Endeavour Primary School,2019-01-01,210,170,72,72,98,6,0,66,1,1,133,91,91,42,25,25,17,0,0
Eunos Primary School,2019-01-01,90,50,27,27,23,11,0,26,0,0,52,13,13,39,3,3,36,0,0
Evergreen Primary School,2019-01-01,180,140,82,82,58,12,0,43,5,5,81,81,81,0,0,0,0,0,0
Fairfield Methodist School (Primary),2019-01-01,270,230,107,107,123,98,124,32,51,32,34,41,34,0,0,0,0,0,0
Farrer Park Primary School,2019-01-01,150,110,28,28,82,9,0,57,1,1,113,32,32,81,17,17,64,0,0
Fengshan Primary School,2019-01-01,180,140,70,70,70,20,0,46,0,0,93,99,93,0,0,0,0,0,0
Fern Green Primary School,2019-01-01,270,230,61,61,169,44,0,83,2,2,164,157,157,7,14,7,0,0,0
Fernvale Primary School,2019-01-01,240,200,96,96,104,10,0,67,1,1,133,79,79,54,61,54,0,0,0
First Toa Payoh Primary School,2019-01-01,120,80,17,17,63,2,0,51,0,0,101,16,16,85,11,11,74,0,0
Frontier Primary School,2019-01-01,210,170,79,79,91,64,0,35,11,11,59,63,59,0,0,0,0,0,0
Fuchun Primary School,2019-01-01,210,170,50,50,120,17,0,72,0,0,144,52,52,92,6,6,86,0,0
Fuhua Primary School,2019-01-01,210,170,82,82,88,24,0,52,1,1,104,53,53,51,59,51,0,0,0
Gan Eng Seng Primary School,2019-01-01,180,140,43,43,97,5,0,66,0,0,132,36,36,96,33,33,63,0,0
Geylang Methodist School (Primary),2019-01-01,270,230,90,90,140,25,10,78,10,10,150,108,108,42,35,35,7,0,0
Gongshang Primary School,2019-01-01,210,170,75,75,95,60,46,39,16,16,65,69,65,0,0,0,0,0,0
Greendale Primary School,2019-01-01,280,240,64,64,176,6,0,106,0,0,211,36,36,176,9,9,167,0,0
Greenridge Primary School,2019-01-01,210,170,69,69,101,9,0,66,2,2,131,75,75,56,57,56,0,0,0
Greenwood Primary School,2019-01-01,210,170,82,82,88,7,0,61,4,4,117,116,116,1,11,1,0,0,0
Guangyang Primary School,2019-01-01,120,80,24,24,56,4,2,46,0,0,92,15,15,77,13,13,64,0,0
Haig Girls' School,2019-01-01,180,140,53,53,87,17,8,55,14,14,96,93,93,3,3,3,0,0,0
Henry Park Primary School,2019-01-01,300,260,130,130,130,107,168,32,26,26,40,53,40,0,0,0,0,0,0
Holy Innocents' Primary School,2019-01-01,270,230,91,91,139,90,54,46,60,46,47,72,47,0,0,0,0,0,0
Hong Wen School,2019-01-01,210,170,84,84,86,31,16,48,33,33,64,116,64,0,0,0,0,0,0
Horizon Primary School,2019-01-01,280,240,83,83,157,15,2,91,18,18,165,168,165,0,0,0,0,0,0
Hougang Primary School,2019-01-01,210,170,77,77,93,14,0,60,19,19,100,115,100,0,0,0,0,0,0
Huamin Primary School,2019-01-01,210,170,72,72,98,30,0,54,0,0,109,138,109,0,0,0,0,0,0
Innova Primary School,2019-01-01,180,140,96,96,44,7,0,39,18,18,59,80,59,0,0,0,0,0,0
Jiemin Primary School,2019-01-01,180,140,64,64,76,25,0,46,7,7,85,84,84,1,1,1,0,0,0
Jing Shan Primary School,2019-01-01,150,110,49,49,61,29,0,36,1,1,71,59,59,12,10,10,2,0,0
Junyuan Primary School,2019-01-01,180,140,93,93,47,39,0,24,0,0,51,55,51,0,0,0,0,0,0
Jurong Primary School,2019-01-01,180,140,84,84,56,30,0,33,0,0,66,69,66,0,0,0,0,0,0
Jurong West Primary School,2019-01-01,180,140,73,73,67,17,0,46,11,11,80,87,80,0,0,0,0,0,0
Juying Primary School,2019-01-01,90,50,23,23,27,1,0,33,0,0,66,10,10,56,8,8,48,0,0
Keming Primary School,2019-01-01,210,170,99,99,71,33,4,40,13,13,68,135,68,0,0,0,0,0,0
Kheng Cheng School,2019-01-01,240,200,71,71,129,19,0,75,0,0,150,129,129,21,27,21,0,0,0
Kong Hwa School,2019-01-01,270,230,106,106,124,62,66,51,43,43,61,79,61,0,0,0,0,0,0
Kranji Primary School,2019-01-01,150,110,24,24,86,4,0,61,0,0,122,21,21,102,6,6,96,0,0
Kuo Chuan Presbyterian Primary School,2019-01-01,240,200,111,111,90,42,20,46,37,37,55,73,55,0,0,0,0,0,0
Lakeside Primary School,2019-01-01,240,200,92,92,108,22,0,64,0,0,127,147,127,0,0,0,0,0,0
Lianhua Primary School,2019-01-01,180,140,37,37,103,9,0,68,0,0,135,30,30,105,34,34,71,0,0
Maha Bodhi School,2019-01-01,330,290,130,130,160,114,104,44,31,31,60,64,60,0,0,0,0,0,0
Maris Stella High School,2019-01-01,270,230,63,63,167,97,126,56,59,56,57,66,57,0,0,0,0,0,0
Marsiling Primary School,2019-01-01,180,140,63,63,77,10,0,54,0,0,107,69,69,38,7,7,31,0,0
Marymount Convent School,2019-01-01,210,170,37,37,133,8,2,83,11,11,156,66,66,90,75,75,15,0,0
Mayflower Primary School,2019-01-01,180,140,40,40,100,15,0,63,0,0,126,43,43,83,30,30,53,0,0
Mee Toh School,2019-01-01,320,280,109,109,171,26,10,93,54,54,133,199,133,0,0,0,0,0,0
Meridian Primary School,2019-01-01,150,110,25,25,85,2,0,62,0,0,124,22,22,102,5,5,97,0,0
Methodist Girls' School (Primary),2019-01-01,210,170,62,62,108,107,170,21,40,21,21,32,21,0,0,0,0,0,0
Montfort Junior School,2019-01-01,120,80,13,13,67,7,0,51,15,15,87,45,45,42,24,24,18,0,0
Nan Chiau Primary School,2019-01-01,300,260,144,144,116,38,24,60,70,60,61,235,61,0,0,0,0,0,0
Nan Hua Primary School,2019-01-01,240,200,108,108,92,106,168,20,27,20,20,96,20,0,0,0,0,0,0
Nanyang Primary School,2019-01-01,390,350,194,194,158,182,296,21,30,21,21,37,21,0,0,0,0,0,0
Naval Base Primary School,2019-01-01,240,200,69,69,131,23,0,74,2,2,146,112,112,34,81,34,0,0,0
New Town Primary School,2019-01-01,210,170,42,42,128,4,0,82,1,1,165,26,26,139,28,28,111,0,0
Ngee Ann Primary School,2019-01-01,240,200,80,80,121,33,0,66,16,16,118,108,108,11,15,11,0,0,0
North Spring Primary School,2019-01-01,210,170,69,69,101,8,0,67,0,0,134,56,56,78,31,31,47,0,0
North View Primary School,2019-01-01,180,140,80,80,60,13,0,44,1,1,87,90,87,0,0,0,0,0,0
North Vista Primary School,2019-01-01,240,200,79,79,121,4,2,79,1,1,158,56,56,103,28,28,75,0,0
Northland Primary School,2019-01-01,240,200,88,88,112,46,40,53,25,25,83,243,83,0,0,0,0,0,0
Northoaks Primary School,2019-01-01,240,200,45,45,155,11,0,93,0,0,185,26,26,159,8,8,151,0,0
Oasis Primary School,2019-01-01,280,240,107,107,133,59,0,57,0,0,114,115,114,0,0,0,0,0,0
Opera Estate Primary School,2019-01-01,150,110,61,61,50,8,0,42,9,9,75,91,75,0,0,0,0,0,0
Palm View Primary School,2019-01-01,240,200,94,94,106,4,0,71,2,2,143,97,97,46,46,46,0,0,0
Park View Primary School,2019-01-01,150,110,41,41,69,6,0,52,0,0,103,61,61,42,23,23,19,0,0
Pasir Ris Primary School,2019-01-01,180,140,87,87,53,26,0,34,22,22,45,58,45,0,0,0,0,0,0
Paya Lebar Methodist Girls' School (Primary),2019-01-01,270,230,61,61,169,59,72,75,65,65,88,108,88,0,0,0,0,0,0
Pei Chun Public School,2019-01-01,300,260,125,125,135,121,150,28,30,28,33,64,33,0,0,0,0,0,0
Pei Hwa Presbyterian Primary School,2019-01-01,224,184,116,116,68,88,88,20,41,20,21,51,21,0,0,0,0,0,0
Pei Tong Primary School,2019-01-01,240,200,62,62,138,11,2,84,0,0,169,36,36,133,34,34,99,0,0
Peiying Primary School,2019-01-01,180,140,56,56,84,10,0,58,0,0,115,41,41,74,56,56,18,0,0
Pioneer Primary School,2019-01-01,180,140,40,40,100,10,0,66,0,0,131,19,19,112,27,27,85,0,0
Poi Ching School,2019-01-01,240,200,81,81,119,20,6,70,24,24,115,150,115,0,0,0,0,0,0
Princess Elizabeth Primary School,2019-01-01,200,160,68,68,92,52,0,40,0,0,82,205,82,0,0,0,0,0,0
Punggol Primary School,2019-01-01,210,170,74,74,96,9,0,64,3,3,125,141,125,0,0,0,0,0,0
Punggol Cove Primary School,2019-01-01,250,210,97,97,113,31,0,61,0,0,123,110,110,13,16,13,0,0,0
