school_name,address,postal_code,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind
Meridian Primary School,20   Pasir Ris St 71,518798,Pasir Ris,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Methodist Girls' School (Primary),11   Blackmore Drive,599986,Bukit Timah,West,Government-Aided Sch,Girls' School,Single Session,Primary,No,No,No,No
Montfort Junior School,52   Hougang Avenue 8,538786,Hougang,North,Government-Aided Sch,Boys' School,Single Session,Primary,No,No,No,No
Nan Chiau Primary School,50   Anchorvale Link,545080,Seng Kang,North,Government-Aided Sch,Co-Ed School,Single Session,Primary,No,No,No,No
Nan Hua Primary School,30   Jalan Lempeng,128806,Clementi,West,Government-Aided Sch,Co-Ed School,Double Session,Primary,Yes,No,Yes,No
Nanyang Primary School,52   King'S Road,268097,Bukit Timah,West,Government-Aided Sch,Co-Ed School,Single Session,Primary,Yes,No,Yes,No
Naval Base Primary School,7    Yishun Ave 4,769028,Yishun,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
New Town Primary School,300  Tanglin Halt Road,148812,Queenstown,South,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Ngee Ann Primary School,344  Marine Terrace,449149,Marine Parade,East,Government-Aided Sch,Co-Ed School,Single Session,Primary,No,No,No,No
North Spring Primary School,1    Rivervale Street,545088,Seng Kang,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
North View Primary School,210  Yishun Avenue 6,768960,Yishun,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
North Vista Primary School,20   Compassvale Link,544974,Seng Kang,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Northland Primary School,15   Yishun Avenue 4,769026,Yishun,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Northoaks Primary School,61   Sembawang Drive,757622,Sembawang,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Northshore Primary School,30   Northshore Drive,828671,Punggol,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Oasis Primary School,71   Edgefield Plains,828716,Punggol,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Opera Estate Primary School,48   Fidelio Street,458436,Bedok,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Palm View Primary School,150  Compassvale Bow,544822,Seng Kang,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Park View Primary School,60   Pasir Ris Drive 1,519524,Pasir Ris,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Pasir Ris Primary School,5    Pasir Ris Street 21,518968,Pasir Ris,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Paya Lebar Methodist Girls' School (Primary),298  Lorong Ah Soo,536741,Hougang,East,Government-Aided Sch,Girls' School,Single Session,Primary,No,No,No,No
Pei Chun Public School,16   Lorong 7 Toa Payoh,319320,Toa Payoh,South,Government-Aided Sch,Co-Ed School,Single Session,Primary,Yes,No,No,No
Pei Hwa Presbyterian Primary School,7    Pei Wah Avenue,597610,Bukit Timah,West,Government-Aided Sch,Co-Ed School,Double Session,Primary,Yes,No,No,No
Pei Tong Primary School,15   Clementi Avenue 5,129857,Clementi,South,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Peiying Primary School,651  Yishun Ring Road,768687,Yishun,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Pioneer Primary School,23   Jurong West Street 81,649076,Jurong West,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Poi Ching School,21   Tampines Street 71,529067,Tampines,East,Government-Aided Sch,Co-Ed School,Single Session,Primary,Yes,No,No,No
Princess Elizabeth Primary School,30   Bukit Batok West Avenue 3,659163,Bukit Batok,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Punggol Cove Primary School,52   Sumang Walk,828674,Punggol,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Punggol Green Primary School,98   Punggol Walk,828772,Punggol,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Punggol Primary School,61   Hougang Avenue 8,538787,Hougang,South,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Punggol View Primary School,9    Punggol Place,828845,Punggol,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Qifa Primary School,50   West Coast Avenue,128104,Clementi,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Qihua Primary School,5    Woodlands Street 81,738525,Woodlands,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Queenstown Primary School,310  Margaret Dr,149303,Queenstown,South,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Radin Mas Primary School,1    Bukit Purmei Avenue,99840,Bukit Merah,South,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Raffles Girls' Primary School,21   Hillcrest Road,289072,Bukit Timah,South,Government School,Girls' School,Single Session,Primary,No,No,Yes,No
Red Swastika School,350  Bedok North Avenue 3,469719,Bedok,East,Government-Aided Sch,Co-Ed School,Single Session,Primary,Yes,No,No,No
River Valley Primary School,2    River Valley Green,237993,Central,South,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Riverside Primary School,110  Woodlands Crescent,737803,Woodlands,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Rivervale Primary School,80   Rivervale Drive,545092,Seng Kang,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Rosyth School,21   Serangoon North Avenue 4,555855,Serangoon,North,Government School,Co-Ed School,Single Session,Primary,No,No,Yes,No
Rulang Primary School,6    Jurong West Street 52,649295,Jurong West,West,Government School,Co-Ed School,Double Session,Primary,No,No,No,No
Sembawang Primary School,10   Sembawang Drive,757715,Sembawang,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Seng Kang Primary School,21   Compassvale Walk,545166,Seng Kang,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Sengkang Green Primary School,15   Fernvale Road,797636,Seng Kang,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Shuqun Primary School,8    Jurong West Street 51,649332,Jurong West,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Si Ling Primary School,61   Woodlands Avenue 1,739067,Woodlands,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Singapore Chinese Girls' Primary School,190  Dunearn Road,309437,Novena,North,Government-Aided Sch,Girls' School,Single Session,Primary,No,No,No,No
South View Primary School,6    Choa Chu Kang Central,689762,Choa Chu Kang,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Springdale Primary School,71   Anchorvale Link,544799,Seng Kang,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
St. Andrew's Junior School,2    Francis Thomas Drive,359337,Toa Payoh,South,Government-Aided Sch,Boys' School,Single Session,Primary,No,No,No,No
St. Anthony's Canossian Primary School,1602 Bedok North Ave 4,469701,Bedok,East,Government-Aided Sch,Girls' School,Single Session,Primary,No,No,No,No
St. Anthony's Primary School,30   Bukit Batok St 32,659401,Bukit Batok,West,Government-Aided Sch,Co-Ed School,Single Session,Primary,No,No,No,No
St. Gabriel's Primary School,220  Lorong Chuan,556742,Serangoon,South,Government-Aided Sch,Boys' School,Single Session,Primary,No,No,No,No
St. Hilda's Primary School,2    Tampines Ave 3,529706,Tampines,East,Government-Aided Sch,Co-Ed School,Single Session,Primary,No,No,Yes,No
St. Joseph's Institution Junior,3    Essex Road,309331,Novena,South,Government-Aided Sch,Boys' School,Single Session,Primary,No,No,No,No
St. Margaret's Primary School,2    Mattar Road,387724,Central,South,Government-Aided Sch,Girls' School,Single Session,Primary,No,No,No,No
St. Stephen's School,20   Siglap View,455789,Bedok,East,Government-Aided Sch,Boys' School,Single Session,Primary,No,No,No,No
Stamford Primary School,1    Victoria Lane,198423,Central,South,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Tampines North Primary School,30   Tampines Avenue 9,529565,Tampines,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Tampines Primary School,250  Tampines Street 12,529426,Tampines,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Tanjong Katong Primary School,10   Seraya Road,437259,Marine Parade,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Tao Nan School,49   Marine Crescent,449761,Marine Parade,East,Government-Aided Sch,Co-Ed School,Single Session,Primary,Yes,No,Yes,No
Teck Ghee Primary School,1    Ang Mo Kio Street 32,569299,Ang Mo Kio,South,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Teck Whye Primary School,11   Teck Whye Walk,688261,Choa Chu Kang,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Telok Kurau Primary School,50   Bedok Reservoir Rd,479239,Bedok,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Temasek Primary School,501  Bedok South Ave 3,469300,Bedok,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Townsville Primary School,3    Ang Mo Kio Ave 10,569730,Ang Mo Kio,South,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Unity Primary School,21   Choa Chu Kang Crescent,688268,Choa Chu Kang,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Valour Primary School,49   Punggol Central,828728,Punggol,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Waterway Primary School,70   Punggol Drive,828802,Punggol,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Wellington Primary School,10   Wellington Circle,757702,Sembawang,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
West Grove Primary School,1    Jurong West St 72,649223,Jurong West,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
West Spring Primary School,60   Bukit Panjang Ring Road,679946,Bukit Panjang,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
West View Primary School,31   Senja Road,677742,Bukit Panjang,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Westwood Primary School,1    Jurong West Street 73,649188,Jurong West,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
White Sands Primary School,2    Pasir Ris St 11,519075,Pasir Ris,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Woodgrove Primary School,2    Woodlands Drive 14,738079,Woodlands,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Woodlands Primary School,10   Woodlands Drive 50,738853,Woodlands,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Woodlands Ring Primary School,11   Woodlands Ring Road,738240,Woodlands,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Xinghua Primary School,45   Hougang Avenue 1,538882,Hougang,South,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Xingnan Primary School,5    Jurong West Street 91,649036,Jurong West,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Xinmin Primary School,9    Hougang Avenue 8,538784,Hougang,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Xishan Primary School,8    Yishun Street 21,768611,Yishun,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
