school_name,address,postal_code,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,latitude,longitude
St. Anthony's Canossian Primary School,1602 Bedok North Ave 4,469701,Bedok,East,Government-Aided Sch,Girls' School,Single Session,Primary,No,No,No,No,1.3349,103.9409
St. Anthony's Primary School,30   Bukit Batok St 32,659401,Bukit Batok,West,Government-Aided Sch,Co-Ed School,Single Session,Primary,No,No,No,No,1.3641,103.7493
St. Gabriel's Primary School,220  Lorong Chuan,556742,Serangoon,South,Government-Aided Sch,Boys' School,Single Session,Primary,No,No,No,No,1.3494,103.8624
St. Hilda's Primary School,2    Tampines Ave 3,529706,Tampines,East,Government-Aided Sch,Co-Ed School,Single Session,Primary,No,No,Yes,No,1.3495,103.9372
St. Joseph's Institution Junior,3    Essex Road,309331,Novena,South,Government-Aided Sch,Boys' School,Single Session,Primary,No,No,No,No,1.3177,103.8456
St. Margaret's Primary School,2    Mattar Road,387724,Central,South,Government-Aided Sch,Girls' School,Single Session,Primary,No,No,No,No,1.3244,103.8816
St. Stephen's School,20   Siglap View,455789,Bedok,East,Government-Aided Sch,Boys' School,Single Session,Primary,No,No,No,No,1.3188,103.9173
Stamford Primary School,1    Victoria Lane,198423,Central,South,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3037,103.8572
Tampines North Primary School,30   Tampines Avenue 9,529565,Tampines,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3605,103.9487
Tampines Primary School,250  Tampines Street 12,529426,Tampines,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3501,103.9438
Tanjong Katong Primary School,10   Seraya Road,437259,Marine Parade,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3053,103.9001
Tao Nan School,49   Marine Crescent,449761,Marine Parade,East,Government-Aided Sch,Co-Ed School,Single Session,Primary,Yes,No,Yes,No,1.3049,103.9115
Teck Ghee Primary School,1    Ang Mo Kio Street 32,569299,Ang Mo Kio,South,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3656,103.851
Teck Whye Primary School,11   Teck Whye Walk,688261,Choa Chu Kang,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3838,103.7536
Telok Kurau Primary School,50   Bedok Reservoir Rd,479239,Bedok,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.331,103.9109
Temasek Primary School,501  Bedok South Ave 3,469300,Bedok,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3177,103.9456
Townsville Primary School,3    Ang Mo Kio Ave 10,569730,Ang Mo Kio,South,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.36,103.8538
Unity Primary School,21   Choa Chu Kang Crescent,688268,Choa Chu Kang,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.4029,103.7468
Valour Primary School,49   Punggol Central,828728,Punggol,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.4069,103.899
Waterway Primary School,70   Punggol Drive,828802,Punggol,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3988,103.9186
Wellington Primary School,10   Wellington Circle,757702,Sembawang,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.4519,103.8223
West Grove Primary School,1    Jurong West St 72,649223,Jurong West,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3448,103.6991
West Spring Primary School,60   Bukit Panjang Ring Road,679946,Bukit Panjang,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3892,103.7662
West View Primary School,31   Senja Road,677742,Bukit Panjang,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3837,103.7603
Westwood Primary School,1    Jurong West Street 73,649188,Jurong West,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3472,103.7005
White Sands Primary School,2    Pasir Ris St 11,519075,Pasir Ris,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3656,103.9609
Woodgrove Primary School,2    Woodlands Drive 14,738079,Woodlands,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.4329,103.7904
Woodlands Primary School,10   Woodlands Drive 50,738853,Woodlands,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.4366,103.7917
Woodlands Ring Primary School,11   Woodlands Ring Road,738240,Woodlands,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.435,103.7974
Xinghua Primary School,45   Hougang Avenue 1,538882,Hougang,South,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.358,103.8903
Xingnan Primary School,5    Jurong West Street 91,649036,Jurong West,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3426,103.6878
Xinmin Primary School,9    Hougang Avenue 8,538784,Hougang,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3716,103.8829
Xishan Primary School,8    Yishun Street 21,768611,Yishun,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.4335,103.8378
Yangzheng Primary School,15   Serangoon Avenue 3,556108,Serangoon,South,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.349,103.8683
Yew Tee Primary School,10   Choa Chu Kang St 64,689100,Choa Chu Kang,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3967,103.7514
Yio Chu Kang Primary School,1    Hougang Street 51,538720,Hougang,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3779,103.8856
Yishun Primary School,500  Yishun Ring Road,768679,Yishun,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.4334,103.8341
Yu Neng Primary School,56   Bedok North St 3,469623,Bedok,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3339,103.9322
Yuhua Primary School,158  Jurong East Street 24,609558,Jurong East,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3429,103.741
Yumin Primary School,3    Tampines Street 21,529393,Tampines,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3513,103.9505
Zhangde Primary School,51   Jalan Membina,169485,Bukit Merah,South,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.2842,103.826
Zhenghua Primary School,9    Fajar Road,679002,Bukit Panjang,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3795,103.7693
Zhonghua Primary School,12   Serangoon Avenue 4,556095,Serangoon,South,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3602,103.8698
